"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","image","question","expression","answer","correct","behaviorType","behavior","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","html-keyboard-response","526","2.0.0","1526322","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","527","2.0.0","1530652","4328","./images/LF-213.jpg","3","Kaylee","face-first","latino","Female","./images/LF-213.jpg","","","","false","","","recall","","","[""Anna"",""Olivia"",""Samantha"",""Kiatlyn"",""Kaylee""]","5",""
"","","","","","html-keyboard-response","528","2.0.0","1531357","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","529","2.0.0","1533240","1880","./images/LF-213.jpg","1","","","","","./images/LF-213.jpg","","","","false","neutral","","behavior","","","","","3"
"","","","","","html-keyboard-response","530","2.0.0","1533944","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","531","2.0.0","1537047","3102","./images/WF-027.jpg","4","Abigial","face-first","white","Female","./images/WF-027.jpg","","","","false","","","recall","","","[""Taylor"",""Chloe"",""Abigial"",""Stephanie"",""Destiny""]","3",""
"","","","","","html-keyboard-response","532","2.0.0","1537752","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","533","2.0.0","1539873","2119","./images/WF-027.jpg","2","","","","","./images/WF-027.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","534","2.0.0","1540578","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","535","2.0.0","1544761","4181","./images/AF-225.jpg","1","Victoria","face-first","asian","Female","./images/AF-225.jpg","","","","true","","","recall","","","[""Victoria"",""Jasmine"",""Samantha"",""Kiatlyn"",""Stephanie""]","1",""
"","","","","","html-keyboard-response","536","2.0.0","1545468","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","537","2.0.0","1547587","2117","./images/AF-225.jpg","4","","","","","./images/AF-225.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","538","2.0.0","1548294","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","539","2.0.0","1550211","1916","./images/WM-033.jpg","2","Christian","bio-first","white","Male","./images/WM-033.jpg","","","","false","","","recall","","","[""Christian"",""Connor"",""Joseph"",""Alexander"",""Andrew""]","1",""
"","","","","","html-keyboard-response","540","2.0.0","1550917","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","541","2.0.0","1553605","2686","./images/WM-033.jpg","2","","","","","./images/WM-033.jpg","","","","false","neutral","","behavior","","","","","3"
"","","","","","html-keyboard-response","542","2.0.0","1554307","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","543","2.0.0","1559802","5494","./images/AF-252.jpg","2","Haley","control","asian","Female","./images/AF-252.jpg","","","","false","","","recall","","","[""Haley"",""Emily"",""Stephanie"",""Jessica"",""Samantha""]","1",""
"","","","","","html-keyboard-response","544","2.0.0","1560506","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","545","2.0.0","1561983","1475","./images/AF-252.jpg","3","","","","","./images/AF-252.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","546","2.0.0","1562687","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","547","2.0.0","1573480","10792","./images/AF-219.jpg","5","Stephanie","face-first","asian","Female","./images/AF-219.jpg","","","","false","","","recall","","","[""Victoria"",""Olivia"",""Stephanie"",""Samantha"",""Katherine""]","3",""
"","","","","","html-keyboard-response","548","2.0.0","1574186","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","549","2.0.0","1576190","2002","./images/AF-219.jpg","1","","","","","./images/AF-219.jpg","","","","true","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","550","2.0.0","1576897","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","551","2.0.0","1580772","3874","./images/LM-210.jpg","3","Elijah","control","latino","Male","./images/LM-210.jpg","","","","true","","","recall","","","[""Jose"",""Isaac"",""Elijah"",""Nathan"",""James""]","3",""
"","","","","","html-keyboard-response","552","2.0.0","1581475","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","553","2.0.0","1583982","2505","./images/LM-210.jpg","1","","","","","./images/LM-210.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","554","2.0.0","1584689","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","555","2.0.0","1587746","3055","./images/AM-211.jpg","4","Daniel","control","asian","Male","./images/AM-211.jpg","","","","true","","","recall","","","[""Noah"",""Joseph"",""William"",""Daniel"",""Angel""]","4",""
