"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","behaviorType","image","behavior","question","expression","answer","correct","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","image-keyboard-response","450","2.0.0","1377294","10539","./images/WM-200.jpg","5","Jordan","face-first","white","Male","","./images/WM-200.jpg","","","","","false","recall","","","[""Ethan"",""Cameron"",""Andrew"",""Jordan"",""Aaron""]","4",""
"","","","","","html-keyboard-response","451","2.0.0","1377995","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","452","2.0.0","1379669","1673","./images/WM-200.jpg","3","","","","","positive","./images/WM-200.jpg","","","","","false","behavior","","","","","1"
"","","","","","html-keyboard-response","453","2.0.0","1380372","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","454","2.0.0","1385639","5267","./images/LM-210.jpg","5","Nathan","control","latino","Male","","./images/LM-210.jpg","","","","","true","recall","","","[""Brandon"",""Hunter"",""Jacob"",""Angel"",""Nathan""]","5",""
"","","","","","html-keyboard-response","455","2.0.0","1386342","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","456","2.0.0","1388572","2229","./images/LM-210.jpg","1","","","","","","./images/LM-210.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","457","2.0.0","1389274","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","458","2.0.0","1392090","2815","./images/AM-211.jpg","4","Alexander","face-first","asian","Male","","./images/AM-211.jpg","","","","","false","recall","","","[""Robert"",""Ethan"",""Alexander"",""Angel"",""Isaiah""]","3",""
"","","","","","html-keyboard-response","459","2.0.0","1392793","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","460","2.0.0","1396739","3944","./images/AM-211.jpg","3","","","","","neutral","./images/AM-211.jpg","","","","","true","behavior","","","","","3"
"","","","","","html-keyboard-response","461","2.0.0","1397441","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","462","2.0.0","1402385","4943","./images/AM-201.jpg","5","Anthony","bio-first","asian","Male","","./images/AM-201.jpg","","","","","true","recall","","","[""Ethan"",""Robert"",""Christopher"",""Andrew"",""Anthony""]","5",""
"","","","","","html-keyboard-response","463","2.0.0","1403087","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","464","2.0.0","1404615","1527","./images/AM-201.jpg","4","","","","","positive","./images/AM-201.jpg","","","","","false","behavior","","","","","1"
"","","","","","html-keyboard-response","465","2.0.0","1405317","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","466","2.0.0","1410125","4807","./images/AF-255.jpg","4","Rachel","bio-first","asian","Female","","./images/AF-255.jpg","","","","","false","recall","","","[""Nicole"",""Megan"",""Rachel"",""Julia"",""Taylor""]","3",""
"","","","","","html-keyboard-response","467","2.0.0","1410826","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","468","2.0.0","1415179","4351","./images/AF-255.jpg","4","","","","","negative","./images/AF-255.jpg","","","","","false","behavior","","","","","2"
"","","","","","html-keyboard-response","469","2.0.0","1415881","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","470","2.0.0","1421637","5755","./images/LM-223.jpg","4","Angel","face-first","latino","Male","","./images/LM-223.jpg","","","","","true","recall","","","[""Evan"",""Jacob"",""Alexander"",""Angel"",""Jose""]","4",""
"","","","","","html-keyboard-response","471","2.0.0","1422340","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","472","2.0.0","1424022","1681","./images/LM-223.jpg","4","","","","","neutral","./images/LM-223.jpg","","","","","false","behavior","","","","","3"
"","","","","","html-keyboard-response","473","2.0.0","1424725","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","474","2.0.0","1432750","8024","./images/LM-239.jpg","3","Evan","face-first","latino","Male","","./images/LM-239.jpg","","","","","false","recall","","","[""Brandon"",""Angel"",""Ethan"",""Jose"",""Evan""]","5",""
"","","","","","html-keyboard-response","475","2.0.0","1433453","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","476","2.0.0","1441362","7909","./images/LM-239.jpg","2","","","","","positive","./images/LM-239.jpg","","","","","false","behavior","","","","","1"
"","","","","","html-keyboard-response","477","2.0.0","1442065","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","478","2.0.0","1444605","2539","./images/AF-252.jpg","5","Elizabeth","control","asian","Female","","./images/AF-252.jpg","","","","","true","recall","","","[""Sydney"",""Destiny"",""Rachel"",""Nicole"",""Elizabeth""]","5",""
"","","","","","html-keyboard-response","479","2.0.0","1445307","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","480","2.0.0","1448426","3118","./images/AF-252.jpg","1","","","","","","./images/AF-252.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","481","2.0.0","1449129","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","482","2.0.0","1451315","2185","./images/AF-205.jpg","2","Destiny","face-first","asian","Female","","./images/AF-205.jpg","","","","","true","recall","","","[""Ava"",""Destiny"",""Taylor"",""Nicole"",""Mia""]","2",""
"","","","","","html-keyboard-response","483","2.0.0","1452018","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","484","2.0.0","1453575","1556","./images/AF-205.jpg","3","","","","","neutral","./images/AF-205.jpg","","","","","true","behavior","","","","","3"
"","","","","","html-keyboard-response","485","2.0.0","1454278","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","486","2.0.0","1460182","5903","./images/LM-241.jpg","5","Jacob","bio-first","latino","Male","","./images/LM-241.jpg","","","","","false","recall","","","[""Brandon"",""Michael"",""Luke"",""Jacob"",""Angel""]","4",""
"","","","","","html-keyboard-response","487","2.0.0","1460883","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","488","2.0.0","1463255","2371","./images/LM-241.jpg","4","","","","","neutral","./images/LM-241.jpg","","","","","false","behavior","","","","","3"
"","","","","","html-keyboard-response","489","2.0.0","1463958","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","490","2.0.0","1467439","3480","./images/LF-243.jpg","2","Abigail","face-first","latino","Female","","./images/LF-243.jpg","","","","","false","recall","","","[""Abigail"",""Kaitlyn"",""Katherine"",""Mia"",""Maria""]","1",""
"","","","","","html-keyboard-response","491","2.0.0","1468141","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","492","2.0.0","1470716","2574","./images/LF-243.jpg","3","","","","","negative","./images/LF-243.jpg","","","","","false","behavior","","","","","2"
"","","","","","html-keyboard-response","493","2.0.0","1471419","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","494","2.0.0","1475454","4034","./images/WF-206.jpg","3","Emma","control","white","Female","","./images/WF-206.jpg","","","","","false","recall","","","[""Jessica"",""Kayla"",""Katherine"",""Anna"",""Emma""]","5",""
"","","","","","html-keyboard-response","495","2.0.0","1476157","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","496","2.0.0","1479091","2933","./images/WF-206.jpg","2","","","","","","./images/WF-206.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","497","2.0.0","1479793","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","498","2.0.0","1484676","4882","./images/WM-036.jpg","4","Aaron","face-first","white","Male","","./images/WM-036.jpg","","","","","true","recall","","","[""Cameron"",""Mason"",""Jordan"",""Aaron"",""Jose""]","4",""
"","","","","","html-keyboard-response","499","2.0.0","1485379","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","500","2.0.0","1487546","2166","./images/WM-036.jpg","2","","","","","negative","./images/WM-036.jpg","","","","","true","behavior","","","","","2"
"","","","","","html-keyboard-response","501","2.0.0","1488249","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","502","2.0.0","1491588","3338","./images/LF-211.jpg","4","Stephanie","bio-first","latino","Female","","./images/LF-211.jpg","","","","","false","recall","","","[""Nicole"",""Brianna"",""Kaitlyn"",""Mia"",""Stephanie""]","5",""
"","","","","","html-keyboard-response","503","2.0.0","1492290","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","504","2.0.0","1500401","8109","./images/LF-211.jpg","2","","","","","neutral","./images/LF-211.jpg","","","","","false","behavior","","","","","3"
"","","","","","html-keyboard-response","505","2.0.0","1501103","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","506","2.0.0","1505022","3919","./images/LF-213.jpg","4","Addison","control","latino","Female","","./images/LF-213.jpg","","","","","false","recall","","","[""Maria"",""Savannah"",""Stephanie"",""Mia"",""Addison""]","5",""
"","","","","","html-keyboard-response","507","2.0.0","1505724","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","508","2.0.0","1506859","1134","./images/LF-213.jpg","3","","","","","","./images/LF-213.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","509","2.0.0","1507561","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","510","2.0.0","1514679","7117","./images/WM-004.jpg","1","Michael","bio-first","white","Male","","./images/WM-004.jpg","","","","","false","recall","","","[""Robert"",""Cameron"",""Mason"",""Michael"",""Andrew""]","4",""
"","","","","","html-keyboard-response","511","2.0.0","1515381","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","512","2.0.0","1516305","922","./images/WM-004.jpg","3","","","","","neutral","./images/WM-004.jpg","","","","","true","behavior","","","","","3"
"","","","","","html-keyboard-response","513","2.0.0","1517007","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","514","2.0.0","1522501","5493","./images/WM-209.jpg","2","Joseph","control","white","Male","","./images/WM-209.jpg","","","","","false","recall","","","[""Benjamin"",""Aaron"",""Cameron"",""Joseph"",""Michael""]","4",""
"","","","","","html-keyboard-response","515","2.0.0","1523204","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","516","2.0.0","1525137","1932","./images/WM-209.jpg","3","","","","","","./images/WM-209.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","517","2.0.0","1525839","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","518","2.0.0","1530373","4533","./images/AM-252.jpg","3","Robert","bio-first","asian","Male","","./images/AM-252.jpg","","","","","false","recall","","","[""Robert"",""Christopher"",""Anthony"",""Jacob"",""Alexander""]","1",""
"","","","","","html-keyboard-response","519","2.0.0","1531074","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","520","2.0.0","1538025","6949","./images/AM-252.jpg","4","","","","","neutral","./images/AM-252.jpg","","","","","false","behavior","","","","","3"
"","","","","","html-keyboard-response","521","2.0.0","1538727","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","522","2.0.0","1541244","2516","./images/AF-225.jpg","1","Mackenzie","control","asian","Female","","./images/AF-225.jpg","","","","","true","recall","","","[""Mackenzie"",""Nicole"",""Elizabeth"",""Destiny"",""Julia""]","1",""
"","","","","","html-keyboard-response","523","2.0.0","1541945","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","524","2.0.0","1545506","3559","./images/AF-225.jpg","3","","","","","","./images/AF-225.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","525","2.0.0","1546208","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","526","2.0.0","1549224","3016","./images/WM-208.jpg","4","Isaac","control","white","Male","","./images/WM-208.jpg","","","","","false","recall","","","[""Jordan"",""Cameron"",""Michael"",""Joseph"",""Isaac""]","5",""
"","","","","","html-keyboard-response","527","2.0.0","1549926","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","528","2.0.0","1551270","1343","./images/WM-208.jpg","1","","","","","","./images/WM-208.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","529","2.0.0","1551972","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","530","2.0.0","1557115","5142","./images/AF-226.jpg","5","Sydney","control","asian","Female","","./images/AF-226.jpg","","","","","true","recall","","","[""Destiny"",""Elizabeth"",""Nicole"",""Ava"",""Sydney""]","5",""
"","","","","","html-keyboard-response","531","2.0.0","1557817","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","532","2.0.0","1560166","2348","./images/AF-226.jpg","2","","","","","","./images/AF-226.jpg","","","","","false","behavior","","","","","4"
"","","","","","html-keyboard-response","533","2.0.0","1560868","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","534","2.0.0","1564806","3937","./images/WF-007.jpg","5","Katherine","face-first","white","Female","","./images/WF-007.jpg","","","","","true","recall","","","[""Anna"",""Andrea"",""Abigail"",""Megan"",""Katherine""]","5",""
"","","","","","html-keyboard-response","535","2.0.0","1565509","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","536","2.0.0","1567840","2330","./images/WF-007.jpg","2","","","","","negative","./images/WF-007.jpg","","","","","true","behavior","","","","","2"
"","","","","","html-keyboard-response","537","2.0.0","1568543","null","What's their name?","null","","","","","","","","","","","","","","","","",""
